urbrur,hhsize,statocc,rooms,bedrooms,phone,cell,car,bicycle,motorcycle,refrigerator,tv,radio,bank,deaths_12m,exp_01,exp_02,exp_03,exp_04,exp_05,exp_06,exp_07,exp_08,exp_09,exp_10,exp_11,exp_12,tot_exp,tot_food,share_food,pc_exp,quint_nat,hhweight_x,popweight,hhweight_y,num_children,num_elderly,average_age,housing_density,dependency_ratio,employment_rate,house_quality_score,house_modernity_score,lifestyle_score,polygamous,living_conditions_level_score,highest_edu_lvl,avg_cmr,unstability_index,womens_empowerment_index,disability_count,unique_religions,health_Data Not Available_per_household,health_Healthy Weight_per_household,health_Obese_per_household,health_Overweight_per_household,health_Underweight_per_household,health_Very Underweight_per_household,num_male,num_female,marstat_1_per_household,marstat_2_per_household,marstat_3_per_household,marstat_4_per_household,migrate_0_per_household,migrate_10_per_household,migrate_11_per_household,migrate_12_per_household,migrate_20_per_household,migrate_30_per_household,migrate_99_per_household,occupation_0_per_household,occupation_1_per_household,occupation_2_per_household,occupation_3_per_household,occupation_4_per_household,occupation_5_per_household,occupation_6_per_household,occupation_7_per_household,occupation_8_per_household,occupation_9_per_household,occupation_10_per_household,occupation_11_per_household,industry_0_per_household,industry_1_per_household,industry_2_per_household,industry_3_per_household,industry_4_per_household,industry_5_per_household,industry_6_per_household,industry_7_per_household,industry_8_per_household,industry_9_per_household,industry_10_per_household,industry_11_per_household,industry_12_per_household,industry_13_per_household,industry_14_per_household,industry_15_per_household,percent_literate,total_children_born
2,1,1,1,1,0,0,0,0,0,1,1,0,0,0.0,1279,162,266,1662,153,63,372,103,76,38,544,326,5044,1279,0.2540000081062317,5044.0,5,322.9722008679479,322.9722008679479,322.9722008679479,0,0,31.0,0.5,0.0,1.0,11,16,5,False,84.0,10,,0.0,0.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,0.0
2,1,2,1,0,0,1,0,0,0,0,0,0,1,0.0,1755,71,279,676,258,78,273,264,103,90,571,234,4652,1755,0.3770000040531158,4652.0,5,322.9722008679479,322.9722008679479,322.9722008679479,0,0,54.0,1.0,0.0,0.0,11,23,5,False,39.0,6,0.0,3.0,1.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,1.0
2,2,1,4,1,0,1,0,0,0,1,1,1,1,0.0,1722,59,696,3724,390,188,710,582,389,356,305,836,9957,1722,0.1729999929666519,4978.5,5,256.1922345230715,512.384469046143,256.1922345230715,0,0,43.5,0.4,0.0,0.5,12,34,11,False,155.0,10,,2.0,0.0,0,1,2,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0,0.0
2,2,1,1,1,0,1,0,0,0,1,1,0,1,0.0,3700,174,660,2921,340,238,1049,592,206,149,576,928,11533,3700,0.3210000097751617,5766.5,5,268.3340465857763,536.6680931715526,268.3340465857763,0,0,50.0,1.0,0.0,1.0,11,25,10,False,56.0,6,0.0,6.0,1.0,0,2,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,100.0,2.0
2,1,2,3,2,1,1,1,0,0,1,1,0,1,0.0,1492,82,603,5556,957,165,2386,516,441,267,1395,689,14549,1492,0.1030000001192092,14549.0,5,268.3340465857763,268.3340465857763,268.3340465857763,0,0,41.0,0.2,0.0,1.0,11,21,16,False,290.0,10,,3.0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0
2,2,1,3,2,1,0,0,0,0,1,1,1,0,0.0,2433,15,152,3900,286,331,210,660,112,31,45,347,8522,2433,0.2849999964237213,4261.0,5,388.5379860065539,777.0759720131078,388.5379860065539,0,2,75.0,0.4,2.0,0.0,12,33,7,False,21.666666666666668,6,0.07692307692307693,2.0,1.0,1,1,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,13.0
2,3,2,4,2,0,1,1,0,0,0,1,1,1,0.0,3402,42,859,4202,591,699,1905,871,598,934,203,1050,15356,3402,0.2220000028610229,5118.66650390625,5,381.8599893720663,1145.5799681161989,381.8599893720663,1,0,33.0,0.5,0.5,0.6666666666666666,12,33,13,False,64.66666666666666,11,0.0,9.0,0.5,0,1,3,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,100.0,1.0
2,2,1,3,2,1,1,1,0,0,1,1,1,1,0.0,3214,43,531,6966,1208,650,2176,1891,551,234,342,1127,18933,3214,0.1700000017881393,9466.5,5,289.5822176955097,579.1644353910194,289.5822176955097,0,1,66.5,0.4,1.0,0.5,12,33,17,False,47.85714285714286,10,,1.0,2.0,3,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0
2,1,2,1,1,0,0,0,0,0,0,0,1,0,0.0,443,4,66,1216,27,45,52,12,12,8,37,85,2007,443,0.221000000834465,2007.0,3,322.9722008679479,322.9722008679479,322.9722008679479,0,1,67.0,0.5,1.0,1.0,10,11,1,False,21.333333333333332,6,,3.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0
2,4,3,3,2,0,0,0,0,1,1,1,0,0,0.0,3680,13,360,1591,847,570,399,69,798,119,15,378,8839,3680,0.4160000085830688,2209.75,3,271.3694996014525,1085.47799840581,271.3694996014525,0,1,51.5,0.8,0.3333333333333333,0.75,10,29,8,False,48.088235294117645,7,0.2,8.0,1.0,0,1,4,0,0,0,0,0,3,1,2,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,50.0,10.0
